numeric	what year did the vietnam war end ?
numeric	how many times larger than life size is the statue of liberty ?
numeric	how long ago did the anglican church part from the vatican ?
numeric	how many e-commerce companies are started every day ?
numeric	how many cubic feet of space does a gallon of water occupy ?
numeric	how old was lucille ball when the show `` i love lucy '' premiered ?
numeric	how many miles is it from frankfurt , germany to salzburg , austria ?
numeric	in which year was the cartoon character chilly willy created ?
numeric	what is the average cost for four years of medical school ?
numeric	when were fish first believed to be found on earth ?
human	what english playwright penned : `` where the bee sucks , so shall i '' ?
human	who was named admiral of the ocean seas and viceroy and governor general of all the islands he might discover , and also granted 10-?? of all profits of his voyage .
human	whom did lauren bacall marry after her husband humphrey bogart died ?
human	what company was the original sponsor of tv 's superman ?
human	who created dennis the menace ?
human	what camera company said , `` if you haven 't got the time , we 've got the camera ? ''
human	who is the president of stanford university ?
human	name of heroine in `` scruples '' ?
human	what british prime minister and u.s. president were seventh cousins once-removed ?
human	what are the names of richard nixon 's two daughters ?
location	when superman needs to get away from it all , where does he go ?
location	what state has the most indians ?
location	where are the austerlitz and victor hugo subway stops ?
location	what country is located at 13 degrees north latitude and 10 degrees east longitude ?
location	where can i find pictorial directions on how to build a very simple treehouse ?
location	what bay divides maryland 's eastern and western shores ?
location	what 's the capital of taiwan ?
location	where is procter & gamble headquartered in the u.s. ?
location	what is the richest state in the u.s. ?
location	where is microsoft 's corporate headquarters located ?
description	where did the energy for the big bang come from ?
description	how does marijuana lead to other drugs ?
description	what is the definition of cosmology ?
description	what is the bernoulli principle ?
description	what is witch hazel ?
description	what is difference between a poster and a print ?
description	what 's the meaning of uol ?
description	what is the origin of the word `` teddy bear '' ?
description	how do you get a broken cork out of a bottle ?
description	why do we ask for the `` check '' and not the bill at a restaurant ?
entity	in what religion was isis the nature goddess ?
entity	what newspaper serves salt lake city ?
entity	what animal occurs in spielberg 's `` jaws '' ?
entity	what four tastes can a human distinguish ?
entity	what color , s , appear on boxes of kodak film ?
entity	what is the name of the islamic counterpart to the red cross ?
entity	where does your hair grow the fastest ?
entity	what animal migrates the farthest ?
entity	what is the organizational structure of the new delhi indira gandhi airport ?
entity	what were the ceremony traditions like during the elizabethian times ?
abbreviation	in a computer , what does scsi mean ?
abbreviation	what does jessica mean ?
abbreviation	what does ibm stand for ?
abbreviation	what is the acronym for the national bureau of investigation ?
abbreviation	what does nafta stand for ?
abbreviation	what does hiv stand for ?
abbreviation	what is the correct way to abbreviate cc. at the bottom of a business letter ?
abbreviation	what does e.g. stand for ?
abbreviation	what does ph stand for ?
abbreviation	what does vcr stand for ?
